time,MAC address,pi1,pi2,pi3,pi4,pi5,x,y,floor
2020-02-21 14:51:10.721988,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-150,-61,-150,-150,173,55,0
2020-02-21 14:51:29.242662,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-69,-67,-61,-59,-39,170,73,0
2020-02-21 14:51:31.694889,cf898d6c5d895b66385d098c167c30575a7a975a07cf199eb017712a9a88ac1d,-77,-150,-71,-150,-150,193,110,0
2020-02-21 14:51:40.213132,5267dcc033c3109183b68738c8d70db95f3a27ea0dfab9a1265702336f9f4f00,-71,-150,-55,-49,-150,131,56,0
2020-02-21 14:51:43.428110,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-150,-61,-57,-150,163,76,0
2020-02-21 14:51:53.844076,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-47,-150,-150,-150,-150,208,45,0
2020-02-21 14:51:57.529958,5267dcc033c3109183b68738c8d70db95f3a27ea0dfab9a1265702336f9f4f00,-71,-51,-63,-57,-65,125,82,0
2020-02-21 14:51:57.903305,7f770ffdb09e9ee25263f08500d6b657aae74f6a030c492fe8c12132cfd1be2b,-150,-61,-75,-63,-63,139,92,0
2020-02-21 14:51:53.553815,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-67,-150,-150,-150,-57,190,93,0
2020-02-21 14:52:14.273936,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-49,-150,-73,-150,-65,210,45,0
2020-02-21 14:52:12.559887,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-67,-150,-73,-65,-55,193,94,0
2020-02-21 14:52:12.821083,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-67,-150,-57,-37,176,72,0
2020-02-21 14:52:25.373153,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-43,-150,-150,-150,-63,210,47,0
2020-02-21 14:52:28.842145,528085eea6e23663037ddd581170df51ead1f95af4b687708f1db17b4b31d7e7,-150,-150,-150,-150,-63,142,61,0
2020-02-21 14:52:34.050173,5267dcc033c3109183b68738c8d70db95f3a27ea0dfab9a1265702336f9f4f00,-150,-150,-150,-150,-45,137,38,0
2020-02-21 14:52:39.594631,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-150,-150,-63,-150,186,94,0
2020-02-21 14:52:40.483292,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-49,-150,-150,-150,-150,210,46,0
2020-02-21 14:52:44.294501,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-150,-57,-59,-39,165,84,0
2020-02-21 14:52:53.443018,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-49,-150,-150,-150,-65,209,49,0
2020-02-21 14:52:54.545115,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-65,-150,-150,-63,-150,191,89,0
2020-02-21 14:53:05.331037,c5e9a88cf45ae1c76fecdbe1535749e0d670a417d449a0cc64099ddd0d1a003e,-150,-71,-47,-69,-31,123,51,0
2020-02-21 14:53:07.969056,3130db8293f68b41419d8cb60b7d2b0964b725acdd2272b6bfbb2be25e021974,-150,-79,-150,-150,-51,161,86,0
2020-02-21 14:53:00.114710,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-67,-61,-59,-150,170,75,0
2020-02-21 14:53:16.681928,45e3c94cb6cf6f042d2bae450f04891b767e92d3e704cc7785cef4afd5155f73,-150,-150,-150,-150,-53,115,87,0
